MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE019,R,2018-05-02T15:29:19Z,NA,0.788,0.508,134.257,0.016552945,154.9831065,0.788,0.508,134.257,0.016552945,154.9831065,NA,NA,NA,NA,NA,2.312,64.495,0.011,-0.679,0.051,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE019,R,2018-05-02T15:28:49Z,NA,0.791,0.51,134.626,0.027202941,-143.9726266,0.791,0.51,134.626,0.027202941,-143.9726266,NA,NA,NA,NA,NA,2.312,64.501,0.01,-0.679,0.047,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE019,R,2018-05-02T15:28:18Z,NA,0.785,0.52,134.924,0.047010637,66.16125982,0.785,0.52,134.924,0.047010637,66.16125982,NA,NA,NA,NA,NA,2.318,64.49,0.012,-0.679,0.053,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE020,R,2018-05-02T15:31:15Z,NA,5.6665,0.497,148.148,0.13473678,24.09201953,5.6665,0.497,148.148,0.13473678,24.09201953,NA,NA,NA,NA,NA,5.353,63.731,0.014,0.169,0.06,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE020,R,2018-05-02T15:30:41Z,NA,5.6685,0.491,148.467,0.146778745,19.91640599,5.6685,0.491,148.467,0.146778745,19.91640599,NA,NA,NA,NA,NA,5.353,63.733,0.013,0.169,0.061,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE020,R,2018-05-02T15:30:11Z,NA,5.667,0.496,148.12,0.128701204,44.37040139,5.667,0.496,148.12,0.128701204,44.37040139,NA,NA,NA,NA,NA,5.353,63.727,0.013,0.17,0.052,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE021,R,2018-05-02T15:37:44Z,NA,8.019,0.014,115.342,0.326938832,168.1745225,8.019,0.014,115.342,0.326938832,168.1745225,NA,NA,NA,NA,NA,7.129,63.158,0.018,0.055,0.03,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE021,R,2018-05-02T15:37:15Z,NA,8.0235,0.011,116.472,0.350031427,166.9563076,8.0235,0.011,116.472,0.350031427,166.9563076,NA,NA,NA,NA,NA,7.131,63.159,0.015,0.056,0.029,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE021,R,2018-05-02T15:36:45Z,NA,8.0205,0.013,115.928,0.341738204,166.2890662,8.0205,0.013,115.928,0.341738204,166.2890662,NA,NA,NA,NA,NA,7.131,63.152,0.018,0.057,0.031,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE022,R,2018-05-02T15:35:34Z,NA,4.019,4.008,90.146,0.220771375,146.4538914,4.019,4.008,90.146,0.220771375,146.4538914,NA,NA,NA,NA,NA,7.164,63.651,0.018,0.06,0.054,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE022,R,2018-05-02T15:34:09Z,NA,4.0235,4.007,90.095,0.169008876,129.7187594,4.0235,4.007,90.095,0.169008876,129.7187594,NA,NA,NA,NA,NA,7.166,63.659,0.016,0.061,0.048,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE022,R,2018-05-02T15:33:23Z,NA,4.029,4.004,89.944,0.182608872,142.5653211,4.029,4.004,89.944,0.182608872,142.5653211,NA,NA,NA,NA,NA,7.168,63.639,0.018,0.063,0.045,NA,NA,NA,test,Made by Essilor in Creteil
